"","YearMonth","Year","Month","index_type","index_val"
"1",2016-01-01,2016,1,"demand_index",54.2254210429212
"2",2016-02-01,2016,2,"demand_index",60.921088339313
"3",2016-03-01,2016,3,"demand_index",74.4947221343203
"4",2016-04-01,2016,4,"demand_index",78.4356945020181
"5",2016-05-01,2016,5,"demand_index",82.4394485598556
"6",2016-06-01,2016,6,"demand_index",86.1102094868469
"7",2016-07-01,2016,7,"demand_index",85.0102013749047
"8",2016-08-01,2016,8,"demand_index",87.2784726282567
"9",2016-09-01,2016,9,"demand_index",100
"10",2016-10-01,2016,10,"demand_index",96.1349860690873
"11",2016-11-01,2016,11,"demand_index",100.189417449111
"12",2016-12-01,2016,12,"demand_index",101.993059656696
"13",2017-01-01,2017,1,"demand_index",92.2424656715153
"14",2017-02-01,2017,2,"demand_index",114.37327310419
"15",2017-03-01,2017,3,"demand_index",118.774966218784
"16",2016-01-01,2016,1,"hc_index",72.1115537848606
"17",2016-02-01,2016,2,"hc_index",72.1115537848606
"18",2016-03-01,2016,3,"hc_index",74.7675962815405
"19",2016-04-01,2016,4,"hc_index",73.4395750332005
"20",2016-05-01,2016,5,"hc_index",74.7675962815405
"21",2016-06-01,2016,6,"hc_index",78.2204515272244
"22",2016-07-01,2016,7,"hc_index",81.1420982735724
"23",2016-08-01,2016,8,"hc_index",83.6653386454183
"24",2016-09-01,2016,9,"hc_index",100
"25",2016-10-01,2016,10,"hc_index",101.32802124834
"26",2016-11-01,2016,11,"hc_index",105.31208499336
"27",2016-12-01,2016,12,"hc_index",105.577689243028
"28",2017-01-01,2017,1,"hc_index",106.772908366534
"29",2017-02-01,2017,2,"hc_index",100.132802124834
"30",2017-03-01,2017,3,"hc_index",94.2895086321381
